Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Kelly Olynyk (13772706),Kelly Olynyk,13772706,PF/C/F/UTIL,4100,NO@MIA 11/16/2019 08:00PM ET,MIA,19.18
SG/SF,Dion Waiters (13772710),Dion Waiters,13772710,SG/SF/F/G/UTIL,4100,NO@MIA 11/16/2019 08:00PM ET,MIA,0
SG/SF,Wesley Matthews (13772719),Wesley Matthews,13772719,SG/SF/F/G/UTIL,4100,MIL@IND 11/16/2019 07:00PM ET,MIL,13.39
PG/SG,Bryn Forbes (13772715),Bryn Forbes,13772715,PG/SG/G/UTIL,4100,POR@SA 11/16/2019 08:30PM ET,SA,21.5
SG/SF,Tim Hardaway Jr. (13772726),Tim Hardaway Jr.,13772726,SG/SF/F/G/UTIL,4100,TOR@DAL 11/16/2019 08:30PM ET,DAL,18.02
SG/SF,Jarrett Culver (13772739),Jarrett Culver,13772739,SG/SF/F/G/UTIL,4000,HOU@MIN 11/16/2019 08:00PM ET,MIN,17.12
SF/PF,Moe Harkless (13772744),Moe Harkless,13772744,SF/PF/F/UTIL,4000,ATL@LAC 11/16/2019 10:30PM ET,LAC,14.27
PF/C,Chris Boucher (13772731),Chris Boucher,13772731,PF/C/F/UTIL,4000,TOR@DAL 11/16/2019 08:30PM ET,TOR,12.33
PF/C,Maxi Kleber (13772735),Maxi Kleber,13772735,PF/C/F/UTIL,4000,TOR@DAL 11/16/2019 08:30PM ET,DAL,21.58
SF/PF,Kevin Knox (13772761),Kevin Knox,13772761,SF/PF/F/UTIL,3900,CHA@NY 11/16/2019 07:30PM ET,NY,18.33
SF/PF,Danuel House Jr. (13772757),Danuel House Jr.,13772757,SF/PF/F/UTIL,3900,HOU@MIN 11/16/2019 08:00PM ET,HOU,24.12
SG/SF,Duncan Robinson (13772748),Duncan Robinson,13772748,SG/SF/F/G/UTIL,3900,NO@MIA 11/16/2019 08:00PM ET,MIA,15.91
PG/SG,George Hill (13772753),George Hill,13772753,PG/SG/G/UTIL,3900,MIL@IND 11/16/2019 07:00PM ET,MIL,20.34
SF/PF,Mario Hezonja (13772765),Mario Hezonja,13772765,SF/PF/F/UTIL,3900,POR@SA 11/16/2019 08:30PM ET,POR,16.5
SG/SF,Terence Davis (13772769),Terence Davis,13772769,SG/SF/F/G/UTIL,3900,TOR@DAL 11/16/2019 08:30PM ET,TOR,10.32
SG/SF,Ben McLemore (13772783),Ben McLemore,13772783,SG/SF/F/G/UTIL,3800,HOU@MIN 11/16/2019 08:00PM ET,HOU,10.90
PF/C,Goga Bitadze (13772774),Goga Bitadze,13772774,PF/C/F/UTIL,3800,MIL@IND 11/16/2019 07:00PM ET,IND,18.46
SG/SF,Sterling Brown (13772778),Sterling Brown,13772778,SG/SF/F/G/UTIL,3800,MIL@IND 11/16/2019 07:00PM ET,MIL,12.78
PG/SG,Austin Rivers (13772796),Austin Rivers,13772796,PG/SG/G/UTIL,3700,HOU@MIN 11/16/2019 08:00PM ET,HOU,13.38
